,id,lon,lat,alt,name,state,uf,time_zone,offset_utc,time_zone.1,offset_utc.1,shape,scale,vmp,vmaxE,p_vmp,p_vmaxE,w_mean,w_median,mean,median
0,83010,-68.7333333333333,-11.016666666666698,260.0,Brasiléia,Acre,AC,America/Rio_Branco,-5,America/Rio_Branco,-5,1.318052071330298,2.0839088221663387,0.7086538326698509,4.198344749989011,0.3312830011579274,0.07437326149526374,1.9194236134233105,1.5780244502815095,1.9176870894819469,1.466667
1,82704,-72.6666666666667,-7.63333333333333,170.0,Cruzeiro do Sul,Acre,AC,America/Rio_Branco,-5,America/Rio_Branco,-5,1.5959450121093266,0.9725411344911462,0.5246217337083884,1.6179502681204359,0.6257666358980295,0.35589730497531386,0.8721602655608093,0.7729850999933301,0.8658369388882231,0.766667
2,82915,-67.8,-9.96666666666667,160.0,Rio Branco,Acre,AC,America/Rio_Branco,-5,America/Rio_Branco,-5,1.8196132735196224,1.366514267388576,0.8815774519878194,2.053983712583183,0.39188498548028,0.4092300309119696,1.2146081696773745,1.117215737635748,1.209138530489521,1.0
3,82807,-70.7666666666667,-8.16666666666667,190.0,Tarauacá,Acre,AC,America/Rio_Branco,-5,America/Rio_Branco,-5,1.5742343416650633,0.6980739719601464,0.3678608033491368,1.1752095564496068,0.8811358637070262,0.4693925703728084,0.6268464024284954,0.5530814491747341,0.6199735881763198,0.34296
4,83098,-36.1666666666667,-10.15,56.13,Coruripe,Alagoas,AL,America/Maceio,-3,America/Maceio,-3,1.3173131508008236,1.6298109504673248,0.5531563972722506,3.2856303398950355,0.4237320864308205,0.09486617833256787,1.5013306280725152,1.2339697275850456,1.4810092205092142,1.0
5,82994,-35.7,-9.66666666666667,64.5,Maceió,Alagoas,AL,America/Maceio,-3,America/Maceio,-3,2.5890536068722927,3.8077901890909125,3.1534710253047993,4.749913864132962,0.0673950688707979,0.2559445030974784,3.381698647890089,3.305165377175288,3.3816099694964867,3.266667
6,82988,-37.7333333333333,-9.11666666666667,635.0,Mata Grande,Alagoas,AL,America/Maceio,-3,America/Maceio,-3,5.449891502882251,5.130730473497868,4.943391861551578,5.433631380854138,0.00022781753815219718,0.0022555773647209496,4.73423373507775,4.797028316902979,4.747225259309973,4.6666669999999995
7,82992,-36.7,-9.45,274.9,Palmeira dos Índios,Alagoas,AL,America/Maceio,-3,America/Maceio,-3,2.3434729362943445,3.3184350612174813,2.6171296189463242,4.318011256408328,0.10265521774044216,0.28935076833853,2.940569349431377,2.8379897591336665,2.943520530137884,2.8666669999999996
8,82990,-37.433333333333294,-9.75,19.1,Pão de Acuçar,Alagoas,AL,America/Maceio,-3,America/Maceio,-3,2.010978735553153,2.6655551091916503,1.893521340435145,3.7574276372304594,0.17466466798722166,0.2797892942113717,2.362059654297453,2.2214415720611878,2.3572018326310245,2.333333
9,82996,-35.43333333333329,-9.18333333333333,50.02,Porto de Pedras,Alagoas,AL,America/Maceio,-3,America/Maceio,-3,2.0694479899072813,4.796446025754491,3.48644398148493,6.650162818109657,0.09245813946200812,0.16613953661307745,4.248699640187658,4.017937137931268,4.245251205993155,4.0
10,82113,-62.9166666666667,-0.966666666666667,40.0,Barcelos,Amazonas,AM,America/Manaus,-4,America/Manaus,-4,2.148534326556492,1.5235515823157553,1.1383085948918994,2.0694546699884038,0.2713582287354136,0.5633397284063711,1.3492715710739869,1.2846120419529536,1.3468113869448552,1.333333
11,82410,-70.0333333333333,-4.38333333333333,65.0,Benjamin Constant,Amazonas,AM,America/Eirunepe,-5,America/Eirunepe,-5,2.1227250987625514,1.142584829889435,0.8463980954012872,1.562068306055418,0.3704163658116565,0.734594007086337,1.0119204676179059,0.9613964467133768,1.0091409571035317,1.0
12,82418,-66.9,-4.95,66.0,Carauari,Amazonas,AM,America/Manaus,-4,America/Manaus,-4,1.7538334320529398,0.8042098719644478,0.4969093469822884,1.2410981816711297,0.6940300192851863,0.6136995978288333,0.7161535117097664,0.6525462962568286,0.7102061236947592,0.666667
13,82425,-63.133333333333304,-4.08333333333333,46.0,Coari,Amazonas,AM,America/Manaus,-4,America/Manaus,-4,1.875176662991203,1.2647142408862353,0.8423726510783239,1.8625568509499388,0.40780205031747657,0.4862701431489667,1.1227614257439331,1.0401771740628216,1.116684281397346,1.0
14,82326,-62.0833333333333,-3.8333333333333295,48.0,Codajás,Amazonas,AM,America/Manaus,-4,America/Manaus,-4,2.166594360415546,1.84966817482896,1.3899574231700944,2.5013633915996,0.21981066218336626,0.4708119267585466,1.6380720490854568,1.5618028126329433,1.6357592576062452,1.666667
15,82610,-69.8666666666667,-6.66666666666667,104.0,Eirunepé,Amazonas,AM,America/Eirunepe,-5,America/Eirunepe,-5,1.6542985620112796,0.8209181581274991,0.4685868031188988,1.3254334087412936,0.7194282135592692,0.4850539166556665,0.7339241636181031,0.6577806786216062,0.7304484471315705,0.666667
